1	6	N-	----GSM-	9538	θεοῦ	θεου	θεου	θεός			,
1	6	V-	-PMPNPM-	832961	πορευόμενοι	πορευομενοι	πορευομενοι	πορεύομαι			
1	6	P-	--------	7	ἐν	ἐν	εν	ἐν			
1	6	A-	----DPF-	14211	πάσαις	πασαις	πασαις	πᾶς			
1	6	RA	----DPF-	10	ταῖς	ταις	ταις	ὁ			
1	6	N-	----DPF-	14210	ἐντολαῖς	ἐντολαις	εντολαις	ἐντολή			
1	6	C-	--------	4	καὶ	και	και	καί			
1	6	N-	----DPN-	18306	δικαιώμασιν	δικαιωμασιν	δικαιωμασιν	δικαίωμα			
1	6	RA	----GSM-	10	τοῦ	του	του	ὁ			
1	6	N-	----GSM-	9538	κυρίου	κυριου	κυριου	κύριος			
1	6	A-	----NPM-	9859	ἄμεμπτοι	ἀμεμπτοι	αμεμπτοι	ἄμεμπτος			.
1	7	C-	--------	4	καὶ	και	και	καί			
1	7	D-	--------	8	οὐκ	οὐκ	ουκ	οὐ			
1	7	V-	3IAI-S--	632449	ἦν	ἠν	ην	εἰμί			
1	7	RP	----DPM-	13	αὐτοῖς	αὐτοις	αυτοις	αὐτός			
1	7	N-	----NSN-	17538	τέκνον	τεκνον	τεκνον	τέκνον			,
1	7	C-	--------	4	καθότι	καθοτι	καθοτι	καθότι			
1	7	V-	3IAI-S--	632449	ἦν	ἠν	ην	εἰμί			
1	7	RA	----NSF-	10	ἡ	ἡ	η	ὁ			
1	7	N-	----NSF-	13442	Ἐλισάβετ	ἐλισαβετ	ελισαβετ	Ἐλισάβετ			
1	7	A-	----NSF-	13443	στεῖρα	στειρα	στειρα	στεῖρα			,
1	7	C-	--------	4	καὶ	και	και	καί			
1	7	A-	----NPM-	9859	ἀμφότεροι	ἀμφοτεροι	αμφοτεροι	ἀμφότεροι			
1	7	V-	-XAPNPM-	830913	προβεβηκότες	προβεβηκοτες	προβεβηκοτες	προβαίνω			
1	7	P-	--------	7	ἐν	ἐν	εν	ἐν			
1	7	RA	----DPF-	10	ταῖς	ταις	ταις	ὁ			
1	7	N-	----DPF-	14210	ἡμέραις	ἡμεραις	ημεραις	ἡμέρα			
1	7	RP	----GPM-	13	αὐτῶν	αὐτων	αυτων	αὐτός			
1	7	V-	3IAI-P--	894593	ἦσαν	ἠσαν	ησαν	εἰμί			.
1	8	V-	3AMI-S--	637569	Ἐγένετο	ἐγενετο	εγενετο	γίνομαι			
1	8	C-	--------	4	δὲ	δε	δε	δέ			
1	8	P-	--------	7	ἐν	ἐν	εν	ἐν			
1	8	RA	----DSN-	10	τῷ	τω	τω	ὁ			
1	8	V-	-PAN----	304513	ἱερατεύειν	ἱερατευειν	ιερατευειν	ἱερατεύω			
1	8	RP	----ASM-	13	αὐτὸν	αὐτον	αυτον	αὐτός			
1	8	P-	--------	7	ἐν	ἐν	εν	ἐν			
1	8	RA	----DSF-	10	τῇ	τη	τη	ὁ			
1	8	N-	----DSF-	13698	τάξει	ταξει	ταξει	τάξις			
1	8	RA	----GSF-	10	τῆς	της	της	ὁ			
1	8	N-	----GSF-	13634	ἐφημερίας	ἐφημεριας	εφημεριας	ἐφημερία			
1	8	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			
1	8	P-	--------	7	ἔναντι	ἐναντι	εναντι	ἔναντι			
1	8	RA	----GSM-	10	τοῦ	του	του	ὁ			
1	8	N-	----GSM-	9538	θεοῦ	θεου	θεου	θεός			
1	9	P-	--------	7	κατὰ	κατα	κατα	κατά			
1	9	RA	----ASN-	10	τὸ	το	το	ὁ			
1	9	N-	----ASN-	17666	ἔθος	ἐθος	εθος	ἔθος			
1	9	RA	----GSF-	10	τῆς	της	της	ὁ			
1	9	N-	----GSF-	13634	ἱερατείας	ἱερατειας	ιερατειας	ἱερατεία			
1	9	V-	3AAI-S--	633473	ἔλαχε	ἐλαχε	ελαχε	λαγχάνω			
1	9	RA	----GSN-	10	τοῦ	του	του	ὁ			
1	9	V-	-AAN----	306049	θυμιᾶσαι	θυμιασαι	θυμιασαι	θυμιάω			
1	9	V-	-AAPNSM-	568257	εἰσελθὼν	εἰσελθων	εισελθων	εἰσέρχομαι			
1	9	P-	--------	7	εἰς	εἰς	εις	εἰς			
1	9	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	9	N-	----ASM-	9474	ναὸν	ναον	ναον	ναός			
1	9	RA	----GSM-	10	τοῦ	του	του	ὁ			
1	9	N-	----GSM-	9538	κυρίου	κυριου	κυριου	κύριος			,
1	10	C-	--------	4	καὶ	και	και	καί			
1	10	A-	----NSN-	17539	πᾶν	παν	παν	πᾶς			
1	10	RA	----NSN-	10	τὸ	το	το	ὁ			
1	10	N-	----NSN-	17538	πλῆθος	πληθος	πληθος	πλῆθος			
1	10	V-	3IAI-S--	632449	ἦν	ἠν	ην	εἰμί			
1	10	RA	----GSM-	10	τοῦ	του	του	ὁ			
1	10	N-	----GSM-	9538	λαοῦ	λαου	λαου	λαός			
1	10	V-	-PMPNSN-	570817	προσευχόμενον	προσευχομενον	προσευχομενον	προσεύχομαι			
1	10	D-	--------	8	ἔξω	ἐξω	εξω	ἔξω			
1	10	RA	----DSF-	10	τῇ	τη	τη	ὁ			
1	10	N-	----DSF-	13698	ὥρᾳ	ὡρα	ωρα	ὥρα			
1	10	RA	----GSN-	10	τοῦ	του	του	ὁ			
1	10	N-	----GSN-	17730	θυμιάματος	θυμιαματος	θυμιαματος	θυμίαμα			·
1	11	V-	3API-S--	2673281	ὤφθη	ὠφθη	ωφθη	ὁράω			
1	11	C-	--------	4	δὲ	δε	δε	δέ			
1	11	RP	----DSM-	13	αὐτῷ	αὐτω	αυτω	αὐτός			
1	11	N-	----NSM-	9346	ἄγγελος	ἀγγελος	αγγελος	ἄγγελος			
1	11	N-	----GSM-	9538	κυρίου	κυριου	κυριου	κύριος			
1	11	V-	-XAPNSM-	568769	ἑστὼς	ἑστως	εστως	ἵστημι			
1	11	P-	--------	7	ἐκ	ἐκ	εκ	ἐκ			
1	11	A-	----GPN-	18243	δεξιῶν	δεξιων	δεξιων	δεξιός			
1	11	RA	----GSN-	10	τοῦ	του	του	ὁ			
1	11	N-	----GSN-	17730	θυσιαστηρίου	θυσιαστηριου	θυσιαστηριου	θυσιαστήριον			
1	11	RA	----GSN-	10	τοῦ	του	του	ὁ			
1	11	N-	----GSN-	17730	θυμιάματος	θυμιαματος	θυμιαματος	θυμίαμα			.
1	12	C-	--------	4	καὶ	και	και	καί			
1	12	V-	3API-S--	2673281	ἐταράχθη	ἐταραχθη	εταραχθη	ταράσσω			
1	12	N-	----NSM-	9346	Ζαχαρίας	ζαχαριας	ζαχαριας	Ζαχαρίας			
1	12	V-	-AAPNSM-	568257	ἰδών	ἰδων	ιδων	ὁράω			,
1	12	C-	--------	4	καὶ	και	και	καί			
1	12	N-	----NSM-	9346	φόβος	φοβος	φοβος	φόβος			
1	12	V-	3AAI-S--	633473	ἐπέπεσεν	ἐπεπεσεν	επεπεσεν	ἐπιπίπτω			
1	12	P-	--------	7	ἐπ	ἐπ	επ	ἐπί			
1	12	RP	----ASM-	13	αὐτόν	αὐτον	αυτον	αὐτός			.
1	13	V-	3AAI-S--	633473	εἶπεν	εἰπεν	ειπεν	λέγω			
1	13	C-	--------	4	δὲ	δε	δε	δέ			
1	13	P-	--------	7	πρὸς	προς	προς	πρός			
1	13	RP	----ASM-	13	αὐτὸν	αὐτον	αυτον	αὐτός			
1	13	RA	----NSM-	10	ὁ	ὁ	ο	ὁ			
1	13	N-	----NSM-	9346	ἄγγελος	ἀγγελος	αγγελος	ἄγγελος			·
1	13	D-	--------	8	Μὴ	μη	μη	μή			
1	13	V-	2PMD-S--	636097	φοβοῦ	φοβου	φοβου	φοβέομαι			,
1	13	N-	----VSM-	9410	Ζαχαρία	ζαχαρια	ζαχαρια	Ζαχαρίας			,
1	13	C-	--------	4	διότι	διοτι	διοτι	διότι			
1	13	V-	3API-S--	2673281	εἰσηκούσθη	εἰσηκουσθη	εισηκουσθη	εἰσακούω			
1	13	RA	----NSF-	10	ἡ	ἡ	η	ὁ			
1	13	N-	----NSF-	13442	δέησίς	δεησις	δεησις	δέησις			
1	13	RP	----GS--	13	σου	σου	σου	σύ			,
1	13	C-	--------	4	καὶ	και	και	καί			
1	13	RA	----NSF-	10	ἡ	ἡ	η	ὁ			
1	13	N-	----NSF-	13442	γυνή	γυνη	γυνη	γυνή			
1	13	RP	----GS--	13	σου	σου	σου	σύ			
1	13	N-	----NSF-	13442	Ἐλισάβετ	ἐλισαβετ	ελισαβετ	Ἐλισάβετ			
1	13	V-	3FAI-S--	632961	γεννήσει	γεννησει	γεννησει	γεννάω			
1	13	N-	----ASM-	9474	υἱόν	υἱον	υιον	υἱός			
1	13	RP	----DS--	13	σοι	σοι	σοι	σύ			,
1	13	C-	--------	4	καὶ	και	και	καί			
1	13	V-	2FAI-S--	632961	καλέσεις	καλεσεις	καλεσεις	καλέω			
1	13	RA	----ASN-	10	τὸ	το	το	ὁ			
1	13	N-	----ASN-	17666	ὄνομα	ὀνομα	ονομα	ὄνομα			
1	13	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			
1	13	N-	----ASM-	9474	Ἰωάννην	ἰωαννην	ιωαννην	Ἰωάννης			·
1	14	C-	--------	4	καὶ	και	και	καί			
1	14	V-	3FMI-S--	637057	ἔσται	ἐσται	εσται	εἰμί			
1	14	N-	----NSF-	13442	χαρά	χαρα	χαρα	χαρά			
1	14	RP	----DS--	13	σοι	σοι	σοι	σύ			
1	14	C-	--------	4	καὶ	και	και	καί			
1	14	N-	----NSF-	13442	ἀγαλλίασις	ἀγαλλιασις	αγαλλιασις	ἀγαλλίασις			,
1	14	C-	--------	4	καὶ	και	και	καί			
1	14	A-	----NPM-	9859	πολλοὶ	πολλοι	πολλοι	πολύς			
1	14	P-	--------	7	ἐπὶ	ἐπι	επι	ἐπί			
1	14	RA	----DSF-	10	τῇ	τη	τη	ὁ			
1	14	N-	----DSF-	13698	γενέσει	γενεσει	γενεσει	γένεσις			
1	14	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			
1	14	V-	3FPI-P--	2934913	χαρήσονται	χαρησονται	χαρησονται	χαίρω			·
1	15	V-	3FMI-S--	637057	ἔσται	ἐσται	εσται	εἰμί			
1	15	C-	--------	4	γὰρ	γαρ	γαρ	γάρ			
1	15	A-	----NSM-	9347	μέγας	μεγας	μεγας	μέγας			
1	15	P-	--------	7	ἐνώπιον	ἐνωπιον	ενωπιον	ἐνώπιον			
1	15	RA	----GSM-	10	τοῦ	του	του	ὁ			
1	15	N-	----GSM-	9538	κυρίου	κυριου	κυριου	κύριος			,
1	15	C-	--------	4	καὶ	και	και	καί			
1	15	N-	----ASM-	9474	οἶνον	οἰνον	οινον	οἶνος			
1	15	C-	--------	4	καὶ	και	και	καί			
