1	5	N-	----GSF-	13634	Ῥούθ	ῥουθ	ρουθ	Ῥούθ			,
1	5	N-	----NSM-	9346	Ἰωβὴδ	ἰωβηδ	ιωβηδ	Ἰωβήδ			
1	5	C-	--------	4	δὲ	δε	δε	δέ			
1	5	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	5	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	5	N-	----ASM-	9474	Ἰεσσαί	ἰεσσαι	ιεσσαι	Ἰεσσαί			,
1	6	N-	----NSM-	9346	Ἰεσσαὶ	ἰεσσαι	ιεσσαι	Ἰεσσαί			
1	6	C-	--------	4	δὲ	δε	δε	δέ			
1	6	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	6	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	6	N-	----ASM-	9474	Δαυὶδ	δαυιδ	δαυιδ	Δαυίδ			
1	6	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	6	N-	----ASM-	9474	βασιλέα	βασιλεα	βασιλεα	βασιλεύς			.
1	6	N-	----NSM-	9346	Δαυὶδ	δαυιδ	δαυιδ	Δαυίδ			
1	6	C-	--------	4	δὲ	δε	δε	δέ			
1	6	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	6	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	6	N-	----ASM-	9474	Σολομῶνα	σολομωνα	σολομωνα	Σολομών			
1	6	P-	--------	7	ἐκ	ἐκ	εκ	ἐκ			
1	6	RA	----GSF-	10	τῆς	της	της	ὁ			
1	6	RA	----GSM-	10	τοῦ	του	του	ὁ			
1	6	N-	----GSM-	9538	Οὐρίου	οὐριου	ουριου	Οὐρίας			,
1	7	N-	----NSM-	9346	Σολομὼν	σολομων	σολομων	Σολομών			
1	7	C-	--------	4	δὲ	δε	δε	δέ			
1	7	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	7	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	7	N-	----ASM-	9474	Ῥοβοάμ	ῥοβοαμ	ροβοαμ	Ῥοβοάμ			,
1	7	N-	----NSM-	9346	Ῥοβοὰμ	ῥοβοαμ	ροβοαμ	Ῥοβοάμ			
1	7	C-	--------	4	δὲ	δε	δε	δέ			
1	7	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	7	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	7	N-	----ASM-	9474	Ἀβιά	ἀβια	αβια	Ἀβιά			,
1	7	N-	----NSM-	9346	Ἀβιὰ	ἀβια	αβια	Ἀβιά			
1	7	C-	--------	4	δὲ	δε	δε	δέ			
1	7	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	7	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	7	N-	----ASM-	9474	Ἀσάφ	ἀσαφ	ασαφ	Ἀσάφ			,
1	8	N-	----NSM-	9346	Ἀσὰφ	ἀσαφ	ασαφ	Ἀσάφ			
1	8	C-	--------	4	δὲ	δε	δε	δέ			
1	8	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	8	RA	----ASM-	10	τὸν	τον	τον	ὁ			
